epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4869.73,0.42076,0.51039,1.03445,0.92417,0.93404,0.97607,0.93289,0.33286,0.34597,0.99027,0.000742625,0.000742625,0.000742625
43,4985.1,0.42515,0.51477,1.03304,0.92144,0.94751,0.97966,0.94242,0.33153,0.31119,0.98396,0.00073025,0.00073025,0.00073025
44,5111.77,0.41223,0.51165,1.02507,0.9569,0.92765,0.9822,0.93941,0.3226,0.2971,0.98204,0.000717875,0.000717875,0.000717875
45,5237.66,0.42428,0.50505,1.03637,0.96207,0.92655,0.97496,0.93787,0.31231,0.30477,0.96289,0.0007055,0.0007055,0.0007055
46,5358.36,0.41319,0.49527,1.02724,0.9536,0.9405,0.9793,0.93851,0.3304,0.29435,0.9864,0.000693125,0.000693125,0.000693125
47,5479.08,0.40577,0.49455,1.01932,0.93528,0.93738,0.98008,0.93908,0.32248,0.3078,0.97658,0.00068075,0.00068075,0.00068075
48,5599.2,0.41324,0.50403,1.02839,0.94847,0.95321,0.98297,0.94093,0.3328,0.2977,0.98224,0.000668375,0.000668375,0.000668375
49,5719.74,0.41312,0.49071,1.02904,0.95211,0.94338,0.98356,0.94277,0.31126,0.28363,0.96744,0.000656,0.000656,0.000656
50,5840.21,0.39621,0.47017,1.01785,0.95718,0.95294,0.98063,0.93819,0.33049,0.29591,0.98667,0.000643625,0.000643625,0.000643625
51,5960.85,0.40993,0.47962,1.02565,0.91884,0.91786,0.97219,0.93786,0.31126,0.34784,0.96769,0.00063125,0.00063125,0.00063125
52,6083.98,0.39732,0.4602,1.02108,0.9573,0.9279,0.97693,0.94117,0.31464,0.29334,0.96304,0.000618875,0.000618875,0.000618875
53,6204.05,0.40153,0.45387,1.01875,0.94253,0.94427,0.97903,0.94343,0.31086,0.29347,0.96494,0.0006065,0.0006065,0.0006065
54,6320.6,0.39281,0.45463,1.0154,0.91328,0.94635,0.97446,0.93559,0.31608,0.32591,0.97455,0.000594125,0.000594125,0.000594125
55,6432.5,0.39593,0.46033,1.01689,0.95524,0.95193,0.98362,0.94405,0.31643,0.27599,0.95907,0.00058175,0.00058175,0.00058175
56,6548.97,0.38654,0.46219,1.00941,0.95953,0.93085,0.98398,0.95083,0.3061,0.28884,0.96126,0.000569375,0.000569375,0.000569375
57,6664.4,0.39309,0.43628,1.01952,0.91467,0.95091,0.98144,0.9466,0.31057,0.31036,0.97118,0.000557,0.000557,0.000557
